tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G54060	AT1G21970	ASIL1	LEC1	R	19155348	atrm	Q9SYG2	Q9SFD8
AT1G54060	AT1G28300	ASIL1	LEC2	R	19155348	atrm	Q9SYG2	Q1PFR7
AT1G54060	AT1G69180	ASIL1	CRC	R	19155348	atrm	Q9SYG2	Q8L925
AT1G54060	AT2G40220	ASIL1	ABI4	R	19155348	atrm	Q9SYG2	A0MES8
AT1G54060	AT3G24650	ASIL1	ABI3	R	19155348	atrm	Q9SYG2	Q01593
AT1G54060	AT3G26790	ASIL1	FUS3	R	19155348	atrm	Q9SYG2	Q9LW31
AT1G54060	AT3G27660	ASIL1	OLEO4	R	19155348	atrm	Q9SYG2	Q42431
AT1G54060	AT4G25140	ASIL1	OLEO1	R	19155348	atrm	Q9SYG2	P29525
AT1G54060	AT5G40420	ASIL1	OLEO2	R	19155348	atrm	Q9SYG2	Q39165
AT1G54060	AT5G51210	ASIL1	OLEO3	R	19155348	atrm	Q9SYG2	Q43284
AT1G55580	AT1G62360	LAS	BUM1	A	16473968	atrm	Q9ZWC5	Q38874
AT1G55580	AT2G37630	LAS	AS1	A	16473968	atrm	Q9ZWC5	O80931
AT1G55580	AT4G37750	LAS	ANT	A	16473968	atrm	Q9ZWC5	Q38914
AT1G55580	AT5G60690	LAS	REV	A	12730136	atrm	Q9ZWC5	Q9SE43
AT1G55600	AT3G19700	WRKY10	IKU2	A	19141706;20406407;16293693;16330781	atrm	Q9LG05	Q9LJM4
AT1G56010	AT2G04160	NAC1	AIR3	A	11114891	atrm	Q84TE6	Q9ZSP5
AT1G56650	AT1G03940	MYB75	AT1G03940	A	15807784	atrm	Q9FE25	Q9ZWB4
AT1G56650	AT1G22640	MYB75	MYB3	A	19192188	atrm	Q9FE25	Q9S9K9
AT1G56650	AT1G66390	MYB75	MYB90	A	18532978;19192188	atrm	Q9FE25	Q9ZTC3
AT1G56650	AT2G23000	MYB75	SCPL10	R	17600138	atrm	Q9FE25	O64810
AT1G56650	AT2G37260	MYB75	TTG2	A	17766401	atrm	Q9FE25	Q9ZUU0
AT1G56650	AT3G29590	MYB75	AT3G29590	A	15807784	atrm	Q9FE25	Q9LJB4
AT1G56650	AT3G55120	MYB75	TT5	A	15807784	atrm	Q9FE25	P41088
AT1G56650	AT4G09820	MYB75	TT8	A	18532978;16709193;18532977	atrm	Q9FE25	Q9FT81
AT1G56650	AT4G14090	MYB75	AT4G14090	A	15807784;16010003	atrm	Q9FE25	Q0WW21
AT1G56650	AT5G13930	MYB75	TT4	A	15807784;16640595	atrm	Q9FE25	P13114
AT1G56650	AT5G17050	MYB75	UGT78D2	A	15807784;16010003	atrm	Q9FE25	Q9LFJ8
AT1G56650	AT5G17220	MYB75	GSTF12	A	19192188	atrm	Q9FE25	Q9FE46
AT1G56650	AT5G42800	MYB75	DFR	A	18532977;17181777	atrm	Q9FE25	P51102
AT1G56650	AT5G54060	MYB75	AT5G54060	A	15807784;16010003	atrm	Q9FE25	Q9LVW3
AT1G62300	AT1G17420	WRKY6	LOX3	A	18641266	atrm	Q9C519	Q9LNR3
AT1G62300	AT1G45145	WRKY6	TRX5	A	14976236	atrm	Q9C519	Q39241
AT1G62300	AT1G62300	WRKY6	WRKY6	R	19934380;15504732;12000796	atrm	Q9C519	Q9C519
AT1G62300	AT2G14610	WRKY6	PR1	A	12000796	atrm	Q9C519	P33154
AT1G62300	AT3G23430	WRKY6	PHO1	R	19934380	atrm	Q9C519	Q8S403
AT1G62300	AT4G04450	WRKY6	WRKY42	R	19934380;15504732;12000796	atrm	Q9C519	Q9XEC3
AT1G62360	AT1G23380	BUM1	KNAT6	A	14617069;16798887	atrm	Q38874	Q84JS6
AT1G62360	AT1G30040	BUM1	GA2OX2	A	18757555	atrm	Q38874	Q9XFR9
